Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Area,Q5_Income,Q6_Language,Q7_Purchase_Frequency,Q8_Monthly_Spend,Q9_Channels,Q10_Channel_Reason,Q11_Brand_Loyalty,Q12_Switching_Triggers,Q13_Price_Premium,Q14_Product_Categories,Q15_Halal_Certified,Q15_Natural_Organic,Q15_Free_From_Chemicals,Q15_Dermatologist_Tested,Q15_Vegan_Cruelty_Free,Q15_Arabian_Heritage,Q16_Product_Format,Q17_Festival_Triggers,Q18_Gift_Purchases,Q19_Cultural_Values,Q20_Discovery_Methods,Q21_Influencer_Impact,Q22_AI_Tool_Interest,Q23_Discount_Type,Q24_Loyalty_Programme,Q25_Brand_Interest
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"Below 5,000",English,Every 2 weeks,Below 50,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,Neutral,Lower price / better value; Halal / clean / organic certification,Up to 10% more,Face skincare; Body care; Oral care,Essential,Very Important,Not Important,Very Important,Essential,Not Important,Serum / oil-based concentrate; Spray / mist,Diwali; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Heritage and tradition,Instagram; Friends / family,Very strongly,Unsure,Free sample / trial size,Likely,Not interested at all
18-24,Female,African,Deira / Bur Dubai / Al Karama,"5,000-10,000",English,Weekly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Convenience / delivery speed,Somewhat loyal,Superior ingredients / formulation; Availability in my preferred store,Up to 10% more,Haircare; Fragrance / perfume / oud,Somewhat Important,Essential,Not Important,Very Important,Very Important,Very Important,Multi-use / hybrid products,Christmas / New Year; Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness; Heritage and tradition,YouTube,Very strongly,No,Bundle deal,Likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"20,001-35,000",English,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,Somewhat loyal,Availability in my preferred store,26-50% more,Body care; Haircare; Men's grooming; Personal hygiene,Very Important,Somewhat Important,Very Important,Very Important,Very Important,Very Important,Rich cream / butter-based; Sheet masks / single-use treatments,Dubai Shopping Festival (DSF / DSS),"Yes, occasionally (2-4 times/year)",Environmental sustainability; Heritage and tradition,TikTok,Moderately,Unsure,Subscription discount,Very likely,Not very interested
18-24,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"20,001-35,000",English,Monthly,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Best prices / discounts,No loyalty,Attractive packaging / brand story; Halal / clean / organic certification,11-25% more,Body care; Haircare; Fragrance / perfume / oud; Oral care,Essential,Very Important,Essential,Very Important,Somewhat Important,Somewhat Important,Spray / mist; Multi-use / hybrid products,Dubai Shopping Festival (DSF / DSS); None - consistent spending,Rarely (once a year or less),Environmental sustainability,TikTok; YouTube,Very strongly,Unsure,Buy-one-get-one-free (BOGO),Very likely,Interested
45-54,Female,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Arabic,Monthly,50-100,"Pharmacies (BinSina, Aster, Life Pharmacy)",Trusted recommendations / expert staff,Neutral,Availability in my preferred store,Up to 10% more,Face skincare; Haircare; Fragrance / perfume / oud; Oral care; Colour cosmetics / makeup,Very Important,Very Important,Somewhat Important,Somewhat Important,Essential,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr,Rarely (once a year or less),Health and wellness,TikTok; Friends / family; In-store browsing,Moderately,No,"Percentage discount (e.g., 20% off)",Neutral,Not very interested
25-34,Female,"Western Expat (European, American, Australian)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",Other,Monthly,201-400,"Beauty specialist stores (Sephora, Faces, MAC)",Trusted recommendations / expert staff,Somewhat loyal,Superior ingredients / formulation; Halal / clean / organic certification,11-25% more,Face skincare; Haircare; Oral care,Not Important,Very Important,Essential,Somewhat Important,Essential,Very Important,Sheet masks / single-use treatments,Eid al-Adha; Dubai Shopping Festival (DSF / DSS),Never,Heritage and tradition; Scientific efficacy,Instagram,Moderately,Probably,Loyalty points,Neutral,Very interested
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"35,001-50,000",Arabic,Every 2 weeks,201-400,"Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Somewhat loyal,Lower price / better value; Availability in my preferred store,11-25% more,Face skincare; Men's grooming; Oral care,Very Important,Very Important,Somewhat Important,Somewhat Important,Essential,Essential,Serum / oil-based concentrate,Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Social image and status,In-store browsing; Subscription boxes,Not at all,Unsure,Loyalty points,Likely,Neutral
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",English,Monthly,201-400,"Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,Low loyalty,Lower price / better value; Availability in my preferred store,Up to 10% more,Body care; Haircare; Men's grooming; Personal hygiene,Essential,Very Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Serum / oil-based concentrate; Multi-use / hybrid products,Diwali,"Yes, occasionally (2-4 times/year)",Health and wellness,TikTok,Moderately,No,"Percentage discount (e.g., 20% off)",Neutral,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"5,000-10,000",Hindi / Urdu,Monthly,201-400,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Duty-free shops",Loyalty rewards / cashback,Somewhat loyal,Superior ingredients / formulation; Personalised products,Up to 10% more,Face skincare; Fragrance / perfume / oud; Men's grooming; Colour cosmetics / makeup,Essential,Very Important,Very Important,Essential,Somewhat Important,Very Important,Lightweight gel / water-based,Eid al-Adha; Diwali; Dubai Shopping Festival (DSF / DSS); None - consistent spending,"Yes, occasionally (2-4 times/year)",Health and wellness,Instagram; TikTok; Celebrity endorsements,Very strongly,Unsure,"Percentage discount (e.g., 20% off)",Very likely,Neutral
25-34,Male,"Western Expat (European, American, Australian)",Jumeirah / Umm Suqeim,"35,001-50,000",English,Monthly,401-700,"Hypermarkets (Carrefour, Lulu, Spinneys); Baqala / convenience stores; Beauty specialist stores (Sephora, Faces, MAC)",Ability to test / try before buying,Somewhat loyal,Lower price / better value; Availability in my preferred store,26-50% more,Face skincare; Body care; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Very Important,Very Important,Somewhat Important,Somewhat Important,Not Important,Spray / mist,Ramadan / Eid al-Fitr; None - consistent spending,Rarely (once a year or less),Heritage and tradition,Instagram,Slightly,Probably,Free sample / trial size,Likely,Interested
18-24,Male,Other,Deira / Bur Dubai / Al Karama,"Above 50,000",English,Monthly,Above 700,"Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC); Brand websites / D2C apps",Widest product range,Very loyal,Recommendation from a friend or influencer,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud; Oral care; Personal hygiene,Essential,Somewhat Important,Not Important,Essential,Essential,Not Important,Lightweight gel / water-based,Dubai Shopping Festival (DSF / DSS); Wedding season / family events; None - consistent spending,"Yes, frequently (5+ times/year)",Health and wellness,Celebrity endorsements; In-store browsing; Subscription boxes,Very strongly,Unsure,Buy-one-get-one-free (BOGO),Very likely,Interested
55+,Male,"Western Expat (European, American, Australian)",Mirdif / Al Warqa / Rashidiya,"5,000-10,000",English,Every 2-3 months,50-100,"Hypermarkets (Carrefour, Lulu, Spinneys)",Widest product range,Very loyal,Personalised products; Superior ingredients / formulation,11-25% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming,Very Important,Very Important,Very Important,Somewhat Important,Very Important,Somewhat Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,Rarely (once a year or less),Social image and status; Religious compliance (halal),TikTok; YouTube,Not at all,No,Loyalty points,Neutral,Not interested at all
35-44,Female,Emirati,Silicon Oasis / Academic City / Sports City,"Above 50,000",English,Monthly,Above 700,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy); Brand websites / D2C apps",Widest product range,Neutral,Superior ingredients / formulation,Up to 10% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Colour cosmetics / makeup,Very Important,Not Important,Somewhat Important,Essential,Not Important,Essential,Serum / oil-based concentrate,Ramadan / Eid al-Fitr,Never,Heritage and tradition,TikTok; In-store browsing,Moderately,Probably,Free shipping,Very likely,Interested
45-54,Male,African,Downtown / Business Bay / DIFC,"10,001-20,000",Arabic,Monthly,201-400,"Online marketplaces (Amazon.ae, Noon); Duty-free shops",Ability to test / try before buying,Somewhat loyal,Superior ingredients / formulation; Recommendation from a friend or influencer,0% - would not pay more,Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Somewhat Important,Not Important,Very Important,Very Important,Very Important,Very Important,Rich cream / butter-based,Eid al-Adha; Valentine's Day / Mother's Day,Never,Social image and status; Religious compliance (halal),Instagram; TikTok; Friends / family,Moderately,Unsure,Bundle deal,Unlikely,Neutral
45-54,Male,Emirati,Mirdif / Al Warqa / Rashidiya,"35,001-50,000",Arabic,Every 2 weeks,101-200,"Beauty specialist stores (Sephora, Faces, MAC); Online marketplaces (Amazon.ae, Noon)",Trusted recommendations / expert staff,Neutral,Lower price / better value,26-50% more,Body care; Fragrance / perfume / oud; Oral care,Somewhat Important,Somewhat Important,Very Important,Somewhat Important,Very Important,Very Important,Multi-use / hybrid products; Serum / oil-based concentrate,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),Never,Religious compliance (halal),In-store browsing,Slightly,"Yes, definitely",Free sample / trial size,Likely,Interested
35-44,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Every 2 weeks,101-200,"Pharmacies (BinSina, Aster, Life Pharmacy); Online marketplaces (Amazon.ae, Noon)",Exclusive products not available elsewhere,No loyalty,Recommendation from a friend or influencer,0% - would not pay more,Face skincare; Body care; Personal hygiene,Essential,Not Important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Sheet masks / single-use treatments,None - consistent spending,Rarely (once a year or less),Religious compliance (halal),TikTok; In-store browsing; Celebrity endorsements,Slightly,No,Buy-one-get-one-free (BOGO),Likely,Interested
45-54,Female,Emirati,Al Barsha / Discovery Gardens / JVC,"Above 50,000",Arabic,Every 2 weeks,Above 700,"Subscription boxes; Pharmacies (BinSina, Aster, Life Pharmacy); Beauty specialist stores (Sephora, Faces, MAC)",Widest product range,Low loyalty,Recommendation from a friend or influencer; Halal / clean / organic certification,More than 50% more,Face skincare; Body care; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care; Personal hygiene,Very Important,Somewhat Important,Somewhat Important,Very Important,Essential,Somewhat Important,Lightweight gel / water-based,Christmas / New Year; Dubai Shopping Festival (DSF / DSS),Rarely (once a year or less),Religious compliance (halal); Health and wellness,Friends / family,Moderately,No,Free sample / trial size,Very unlikely,Interested
18-24,Male,Emirati,Downtown / Business Bay / DIFC,"20,001-35,000",Arabic,Monthly,50-100,"Online marketplaces (Amazon.ae, Noon); Brand websites / D2C apps; Duty-free shops",Best prices / discounts,Neutral,Lower price / better value; Superior ingredients / formulation,More than 50% more,Fragrance / perfume / oud,Very Important,Somewhat Important,Very Important,Very Important,Essential,Essential,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Dubai Shopping Festival (DSF / DSS),Never,Social image and status; Environmental sustainability,Instagram; YouTube,Slightly,No,Buy-one-get-one-free (BOGO),Very likely,Neutral
18-24,Male,"Western Expat (European, American, Australian)",Al Barsha / Discovery Gardens / JVC,"10,001-20,000",English,Every 2-3 months,101-200,"Beauty specialist stores (Sephora, Faces, MAC)",Exclusive products not available elsewhere,Somewhat loyal,Superior ingredients / formulation; Lower price / better value,11-25% more,Face skincare; Haircare; Fragrance / perfume / oud; Men's grooming; Oral care,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Essential,Somewhat Important,Sheet masks / single-use treatments,None - consistent spending,Never,Environmental sustainability; Health and wellness,TikTok,Very strongly,No,"Percentage discount (e.g., 20% off)",Neutral,Neutral
18-24,Male,"Other Arab (Egyptian, Lebanese, Jordanian, etc.)",Dubai Marina / JBR / JLT,"Above 50,000",Arabic,Every 2 weeks,Above 700,"Pharmacies (BinSina, Aster, Life Pharmacy); Hypermarkets (Carrefour, Lulu, Spinneys); Beauty specialist stores (Sephora, Faces, MAC)",Ability to test / try before buying,Neutral,Personalised products; Lower price / better value,26-50% more,Body care; Colour cosmetics / makeup; Personal hygiene,Somewhat Important,Somewhat Important,Very Important,Essential,Not Important,Very Important,Serum / oil-based concentrate; Spray / mist,Ramadan / Eid al-Fitr; Eid al-Adha,Rarely (once a year or less),Scientific efficacy; Religious compliance (halal),Instagram; TikTok; Google search / blogs,Slightly,"Yes, definitely","Percentage discount (e.g., 20% off)",Likely,Interested
25-34,Male,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Deira / Bur Dubai / Al Karama,"20,001-35,000",English,Monthly,Below 50,Brand websites / D2C apps,Convenience / delivery speed,Very loyal,Availability in my preferred store,11-25% more,Face skincare; Haircare; Men's grooming; Oral care; Personal hygiene,Essential,Very Important,Essential,Somewhat Important,Essential,Not Important,Lightweight gel / water-based; Rich cream / butter-based,Dubai Shopping Festival (DSF / DSS); Valentine's Day / Mother's Day,Never,Environmental sustainability,Instagram; Celebrity endorsements,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Neutral,Neutral
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Downtown / Business Bay / DIFC,"10,001-20,000",Hindi / Urdu,Every 2 weeks,201-400,"Hypermarkets (Carrefour, Lulu, Spinneys); Online marketplaces (Amazon.ae, Noon)",Loyalty rewards / cashback,No loyalty,Availability in my preferred store; Recommendation from a friend or influencer,11-25% more,Oral care; Personal hygiene,Somewhat Important,Essential,Very Important,Very Important,Somewhat Important,Very Important,Lightweight gel / water-based; Multi-use / hybrid products,Diwali; Valentine's Day / Mother's Day,"Yes, occasionally (2-4 times/year)",Health and wellness,TikTok,Very strongly,"Yes, definitely","Percentage discount (e.g., 20% off)",Very likely,Very interested
25-34,Female,"South Asian (Indian, Pakistani, Bangladeshi, Sri Lankan)",Dubai Marina / JBR / JLT,"10,001-20,000",English,Every 2-3 months,101-200,"Hypermarkets (Carrefour, Lulu, Spinneys); Pharmacies (BinSina, Aster, Life Pharmacy)",Exclusive products not available elsewhere,No loyalty,Recommendation from a friend or influencer,Up to 10% more,Face skincare; Haircare; Colour cosmetics / makeup; Personal hygiene,Not Important,Essential,Essential,Very Important,Essential,Very Important,Lightweight gel / water-based,Ramadan / Eid al-Fitr; Diwali,"Yes, occasionally (2-4 times/year)",Religious compliance (halal),Instagram; TikTok; In-store browsing,Slightly,Unsure,"Percentage discount (e.g., 20% off)",Likely,Not interested at all
